QID90_1,QID90_2,QID90_3,Q22_1,Q92_1,Q92_2,Q92_3,Q100_1,Q100_2,Q61,Q20,Age,Gender,Household_size,Q28,bed,empa,Q92_2r,maskePo
3,2,1,5,5,1,5,2,4,2,1,28.00,1,6.00,Gemüsepfanne,1.00,2.00,5.00,5.00
5,5,5,5,5,2,5,3,3,2,1,38.00,1,4.00,Nichts,2.00,5.00,4.00,4.50
1,1,1,5,5,1,5,2,5,2,1,34.00,1,2.00,Rohkost,0.00,1.00,5.00,5.00
1,1,1,1,1,5,5,2,2,1,1,45.00,2,4.00,Mittag,1.00,1.00,1.00,1.00
1,1,1,2,1,2,5,3,3,2,1,30.00,1,2.00,Nudeln,1.00,1.00,4.00,2.50
5,3,3,5,4,4,5,3,5,2,1,20.00,1,5.00,Hähnchen,2.00,3.67,2.00,3.00
3,3,4,3,3,4,5,3,3,2,1,29.00,2,2.00,Nudeln,2.00,3.33,2.00,2.50
4,4,4,4,3,1,5,2,3,2,1,22.00,2,1.00,Studentenfutter,2.00,4.00,5.00,4.00
1,1,1,3,2,3,5,3,4,1,1,31.00,2,2.00,Gefüllte Paprika,1.00,1.00,3.00,2.50
2,1,1,5,3,1,5,4,2,1,1,26.00,2,2.00,Belegtes Brötchen,1.00,1.33,5.00,4.00
4,4,4,4,5,2,5,3,3,1,1,27.00,#NULL!,1.00,Pizza,2.00,4.00,4.00,4.50
1,1,1,4,1,3,5,4,4,2,1,45.00,1,2.00,rührei,1.00,1.00,3.00,2.00
4,3,4,3,5,2,5,3,4,1,1,55.00,1,2.00,Salat,0.00,3.67,4.00,4.50
1,1,1,1,4,1,5,2,3,1,1,33.00,1,2.00,Brötchen,0.00,1.00,5.00,4.50
5,5,5,4,4,1,5,4,4,1,1,58.00,2,2.00,"gegrillte Forelle, Kraut- + Kartoffelsalat",2.00,5.00,5.00,4.50
3,5,5,2,5,1,5,3,3,2,1,39.00,2,2.00,Bagel,2.00,4.33,5.00,5.00
1,1,2,4,2,3,5,2,3,1,1,52.00,1,4.00,Müsli,1.00,1.33,3.00,2.50
3,3,3,5,3,1,5,2,2,1,1,51.00,2,2.00,Bratwurst,0.00,3.00,5.00,4.00
2,1,1,3,5,2,5,2,3,2,1,44.00,2,3.00,Tomatensuppe,0.00,1.33,4.00,4.50
1,1,1,5,5,2,5,5,3,1,1,39.00,2,2.00,hähnchen,0.00,1.00,4.00,4.50
3,3,3,5,5,2,5,3,3,1,1,32.00,1,1.00,Kartoffelauflauf,0.00,3.00,4.00,4.50
1,1,1,3,5,1,5,2,3,2,1,37.00,1,4.00,Nudeln,1.00,1.00,5.00,5.00
3,1,1,5,5,1,5,4,4,2,1,33.00,1,2.00,Pasta,0.00,1.67,5.00,5.00
1,1,1,4,4,1,5,3,4,1,1,30.00,2,2.00,Pommes,1.00,1.00,5.00,4.50
4,3,5,4,4,2,5,2,3,2,1,26.00,1,1.00,Pommes,2.00,4.00,4.00,4.00
2,2,2,4,5,1,5,2,3,2,1,27.00,1,2.00,Brot,1.00,2.00,5.00,5.00
3,3,3,2,4,3,5,4,3,2,1,35.00,1,4.00,Nudeln,0.00,3.00,3.00,3.50
2,2,2,2,1,4,5,2,3,2,1,35.00,1,3.00,Fisch,2.00,2.00,2.00,1.50
1,2,1,3,5,1,5,3,4,2,1,31.00,2,3.00,Nudeln,0.00,1.33,5.00,5.00
5,4,4,5,4,4,5,3,4,2,1,21.00,1,2.00,Nudeln,1.00,4.33,2.00,3.00
2,3,3,4,3,2,5,2,4,2,1,23.00,1,3.00,Selbstgemachte Burger,0.00,2.67,4.00,3.50
5,5,5,5,4,1,5,4,4,2,1,29.00,2,2.00,Brötchen,2.00,5.00,5.00,4.50
5,5,4,5,5,1,5,4,4,2,1,31.00,1,2.00,Brot,2.00,4.67,5.00,5.00
3,4,4,3,3,2,5,2,4,2,1,19.00,2,3.00,Nudeln mit Tomatensoße,1.00,3.67,4.00,3.50
1,1,1,4,4,1,5,3,3,2,1,42.00,1,3.00,Brötchen,1.00,1.00,5.00,4.50
1,2,2,2,3,4,5,2,3,1,1,39.00,1,2.00,Pfannennudeln,0.00,1.67,2.00,2.50
4,4,3,4,4,2,5,2,4,2,1,38.00,1,4.00,Pasta,2.00,3.67,4.00,4.00
1,1,1,3,3,2,5,3,3,1,1,62.00,2,2.00,Käsebrot,1.00,1.00,4.00,3.50
3,2,4,2,2,2,5,4,4,2,1,23.00,2,2.00,Nudeln,0.00,3.00,4.00,3.00
5,4,5,5,5,1,5,2,3,2,1,38.00,2,3.00,Kartoffelsalat,2.00,4.67,5.00,5.00
2,4,2,5,5,2,5,4,4,1,1,23.00,2,2.00,Thunfischsalat,0.00,2.67,4.00,4.50
1,1,1,5,5,4,5,4,4,1,1,54.00,2,1.00,Ravioli,0.00,1.00,2.00,3.50
1,2,2,5,5,1,5,2,4,2,1,27.00,1,2.00,Nudeln,1.00,1.67,5.00,5.00
5,4,3,3,3,1,5,3,3,2,1,30.00,1,2.00,Pizza,2.00,4.00,5.00,4.00
1,1,1,2,5,5,5,3,5,2,1,32.00,1,4.00,Nudeln,1.00,1.00,1.00,3.00
4,4,4,5,5,1,5,2,3,2,1,29.00,2,2.00,Fisch und Kartoffelsalat,1.00,4.00,5.00,5.00
1,1,1,5,5,1,5,4,4,2,1,38.00,1,4.00,Reis,0.00,1.00,5.00,5.00
3,1,1,4,4,3,5,2,3,2,1,18.00,1,5.00,Nudeln,1.00,1.67,3.00,3.50
2,2,2,5,5,1,5,3,3,1,1,55.00,2,1.00,pizza,0.00,2.00,5.00,5.00
2,1,2,3,2,3,5,3,3,2,1,31.00,1,3.00,Nudeln,1.00,1.67,3.00,2.50
5,5,5,4,3,2,5,2,3,1,1,58.00,1,3.00,Nudeln,2.00,5.00,4.00,3.50
2,2,2,4,5,1,5,2,4,2,1,24.00,1,2.00,Mettbrötchen,1.00,2.00,5.00,5.00
1,3,2,5,5,2,5,2,2,1,1,29.00,1,2.00,Pizza,0.00,2.00,4.00,4.50
1,2,2,4,3,3,5,2,3,2,1,38.00,2,1.00,Kartoffelpuffer,0.00,1.67,3.00,3.00
4,5,5,4,5,2,5,3,4,1,1,58.00,2,2.00,Salat,2.00,4.67,4.00,4.50
5,5,5,3,4,3,5,3,3,1,1,29.00,1,1.00,Salat,2.00,5.00,3.00,3.50
5,5,5,5,5,2,5,3,4,1,1,67.00,1,2.00,Nudeln!,2.00,5.00,4.00,4.50
3,1,2,3,2,4,5,3,2,2,1,36.00,1,1.00,Rind mit Nudeln,2.00,2.00,2.00,2.00
1,1,1,4,4,4,5,2,3,2,1,45.00,2,3.00,Bratkartoffeln,0.00,1.00,2.00,3.00
1,1,1,2,2,1,5,3,3,#NULL!,1,53.00,1,2.00,lammsteak,1.00,1.00,5.00,3.50
3,3,3,3,4,2,5,2,4,2,1,21.00,1,3.00,Brot,0.00,3.00,4.00,4.00
1,1,5,5,5,5,5,1,3,2,1,48.00,1,4.00,Pizza,1.00,2.33,1.00,3.00
1,3,3,5,4,1,5,4,4,2,1,47.00,1,5.00,Nudeln mit Ei,0.00,2.33,5.00,4.50
1,2,2,5,5,2,5,3,3,2,1,39.00,2,1.00,Salat,1.00,1.67,4.00,4.50
5,4,3,5,5,1,5,2,3,2,1,25.00,2,4.00,Käsespätzle,2.00,4.00,5.00,5.00
3,1,1,5,4,1,5,4,5,2,1,35.00,2,2.00,Nudeln mit Sauce,0.00,1.67,5.00,4.50
3,2,2,4,2,1,5,3,3,2,1,24.00,1,3.00,Nudelauflauf,2.00,2.33,5.00,3.50
2,2,2,5,5,1,5,4,4,2,1,49.00,2,5.00,Frischkäsebrot,1.00,2.00,5.00,5.00
1,1,1,3,3,2,5,4,4,2,1,33.00,1,4.00,Nudeln,1.00,1.00,4.00,3.50
5,5,5,5,4,1,5,2,3,2,1,38.00,2,3.00,Tomaten,2.00,5.00,5.00,4.50
3,3,3,1,1,5,5,2,2,2,1,41.00,2,6.00,Huhn,1.00,3.00,1.00,1.00
4,3,4,4,4,3,5,4,4,1,1,52.00,2,1.00,Nudeln,2.00,3.67,3.00,3.50
3,3,3,4,2,4,5,3,3,2,1,21.00,1,1.00,"Nudeln mit Tomatensoße, Ingwer und Käse",0.00,3.00,2.00,2.00
1,1,1,4,5,2,5,4,4,1,1,44.00,1,2.00,Hühnchen,1.00,1.00,4.00,4.50
2,2,2,4,2,1,5,2,3,1,1,36.00,1,4.00,Käsespetzle,1.00,2.00,5.00,3.50
3,4,4,5,5,1,5,3,3,2,1,49.00,2,2.00,Hähnchen,0.00,3.67,5.00,5.00
1,2,1,3,3,1,5,3,3,1,1,52.00,1,1.00,Wurst und Kartoffeln,0.00,1.33,5.00,4.00
4,1,4,4,4,1,5,1,3,2,1,23.00,1,2.00,Sandwich,0.00,3.00,5.00,4.50
1,1,1,1,1,1,5,1,1,1,1,26.00,1,4.00,fleisch,2.00,1.00,5.00,3.00
4,5,5,4,5,2,5,3,4,1,1,40.00,1,2.00,Steak mit Bohnen,1.00,4.67,4.00,4.50
4,5,4,4,5,1,5,2,2,2,1,35.00,1,1.00,Gemüse,2.00,4.33,5.00,5.00
3,3,4,3,4,3,5,3,3,2,1,43.00,1,1.00,reis,1.00,3.33,3.00,3.50
2,2,2,3,2,2,5,3,3,2,1,40.00,2,4.00,Salat,0.00,2.00,4.00,3.00
4,4,4,3,2,4,5,2,3,1,1,41.00,1,5.00,Lasagne,2.00,4.00,2.00,2.00
2,2,2,3,4,3,5,3,4,2,1,22.00,1,1.00,Nudeln,0.00,2.00,3.00,3.50
1,2,2,4,3,3,5,4,3,1,1,23.00,2,1.00,Reis,1.00,1.67,3.00,3.00
4,3,3,4,3,3,5,2,3,1,1,54.00,1,1.00,Rühreier,2.00,3.33,3.00,3.00
2,2,2,4,4,2,5,3,2,1,1,34.00,1,2.00,Brot mit Käse und Gurke,0.00,2.00,4.00,4.00
3,4,3,3,3,4,5,4,3,2,1,24.00,1,1.00,Salat,0.00,3.33,2.00,2.50
3,3,3,3,3,3,5,2,2,2,1,32.00,1,4.00,Schnitte,0.00,3.00,3.00,3.00
3,3,3,4,4,1,5,3,3,1,1,63.00,2,2.00,Toast Hawaii,1.00,3.00,5.00,4.50
5,5,5,5,5,2,5,5,5,2,1,26.00,2,2.00,Reis mit Zwieben,2.00,5.00,4.00,4.50
1,1,2,2,2,5,5,3,3,1,1,34.00,1,2.00,Bratwurst mit Kroketten und Gemüse,1.00,1.33,1.00,1.50
4,4,4,5,5,1,5,3,3,2,1,19.00,1,5.00,Hähnchen Reis und Nudeln,0.00,4.00,5.00,5.00
2,3,2,5,5,1,5,3,3,2,1,48.00,2,2.00,Spargel,0.00,2.33,5.00,5.00
5,5,5,5,5,1,5,4,4,2,1,49.00,2,2.00,salat,2.00,5.00,5.00,5.00
3,3,3,4,4,2,5,3,3,2,1,40.00,1,3.00,Fleisch,1.00,3.00,4.00,4.00
4,3,3,3,3,2,5,3,3,1,1,31.00,2,3.00,Kartoffelsalat,2.00,3.33,4.00,3.50
3,4,3,2,1,3,5,2,3,2,1,29.00,1,4.00,Schnitzel,1.00,3.33,3.00,2.00
3,2,2,3,1,4,5,1,3,2,1,18.00,1,2.00,Maultaschen,0.00,2.33,2.00,1.50
5,5,5,5,5,1,5,5,5,1,1,56.00,1,2.00,Nudeln,2.00,5.00,5.00,5.00
1,1,1,4,2,1,5,2,3,2,1,24.00,1,2.00,Käsebrot,1.00,1.00,5.00,3.50
1,1,1,1,1,1,5,4,3,1,1,28.00,2,3.00,Milchreis,0.00,1.00,5.00,3.00
5,4,4,4,3,2,5,4,4,1,1,56.00,2,2.00,Ein belegtes Brot und Obst,2.00,4.33,4.00,3.50
1,1,1,4,5,1,5,4,4,1,1,48.00,1,1.00,nichts,0.00,1.00,5.00,5.00
2,2,2,5,5,1,5,3,4,1,1,39.00,1,1.00,Salat,1.00,2.00,5.00,5.00
4,4,3,5,4,1,5,3,4,2,1,30.00,1,2.00,Spinat.,2.00,3.67,5.00,4.50
3,2,1,5,5,2,5,3,3,2,1,31.00,1,2.00,Salat,0.00,2.00,4.00,4.50
1,1,1,5,5,1,5,3,3,2,1,35.00,1,4.00,Bulette,1.00,1.00,5.00,5.00
3,5,4,4,5,1,5,3,4,1,1,29.00,2,4.00,Avocado,2.00,4.00,5.00,5.00
1,2,2,5,5,1,5,5,5,1,1,35.00,1,1.00,Brötchen,1.00,1.67,5.00,5.00
3,2,3,2,2,3,5,2,3,2,1,21.00,1,4.00,Spaghetti,0.00,2.67,3.00,2.50
1,1,1,1,1,5,5,1,1,2,1,30.00,2,2.00,Kartoffeln,0.00,1.00,1.00,1.00
